Timestamp,Phase,Latency_ms,Status_Code
2026-09-02T17:01:04.958931,Cycle_1_Cold_Start,1302.76,200
2026-09-02T17:01:11.605137,Cycle_1_Warm_1,1628.07,200
2026-09-02T17:01:17.689514,Cycle_1_Warm_2,1072.43,200
2026-09-02T17:01:23.434362,Cycle_1_Warm_3,731.98,200
2026-09-02T17:36:24.714625,Cycle_2_Cold_Start,1085.7,200
2026-09-02T17:36:30.854576,Cycle_2_Warm_1,647.15,200
2026-09-02T17:36:36.616193,Cycle_2_Warm_2,755.27,200
2026-09-02T17:36:42.250440,Cycle_2_Warm_3,625.63,200
2026-09-02T18:11:43.271111,Cycle_3_Cold_Start,814.39,200
2026-09-02T18:11:49.256685,Cycle_3_Warm_1,625.15,200
2026-09-02T18:11:54.902297,Cycle_3_Warm_2,641.17,200
2026-09-02T18:12:00.505286,Cycle_3_Warm_3,597.77,200
2026-09-02T18:26:52.626963,Cycle_1_Cold_Start,841.65,200
2026-09-02T18:26:58.254828,Cycle_1_Warm_1,621.14,200
2026-09-02T18:27:03.883664,Cycle_1_Warm_2,626.18,200
2026-09-02T18:27:09.456779,Cycle_1_Warm_3,565.97,200
2026-09-02T19:12:06.090380,Cycle_2_Cold_Start,1090.32,200
2026-09-02T19:12:12.191689,Cycle_2_Warm_1,735.53,200
2026-09-02T19:12:17.982065,Cycle_2_Warm_2,781.81,200
2026-09-02T19:12:24.605643,Cycle_2_Warm_3,1618.27,200
2026-09-02T19:47:26.430669,Cycle_3_Cold_Start,1735.01,200
2026-09-02T19:47:33.390823,Cycle_3_Warm_1,595.65,200
2026-09-02T19:47:40.245171,Cycle_3_Warm_2,1845.5,200
2026-09-02T19:47:46.881336,Cycle_3_Warm_3,693.31,200
2026-09-02T19:54:46.523549,Cycle_1_Cold_Start,1133.0,200
2026-09-02T19:54:52.218304,Cycle_1_Warm_1,685.23,200
2026-09-02T19:54:57.868461,Cycle_1_Warm_2,642.58,200
2026-09-02T19:55:04.656776,Cycle_1_Warm_3,1783.02,200
2026-09-02T20:30:06.809230,Cycle_2_Cold_Start,910.87,200
2026-09-02T20:30:12.599812,Cycle_2_Warm_1,608.93,200
2026-09-02T20:30:18.238144,Cycle_2_Warm_2,628.29,200
2026-09-02T20:30:23.858055,Cycle_2_Warm_3,606.36,200
2026-09-02T21:05:24.999177,Cycle_3_Cold_Start,887.53,200
2026-09-02T21:05:30.768176,Cycle_3_Warm_1,697.18,200
2026-09-02T21:05:36.556983,Cycle_3_Warm_2,779.17,200
2026-09-02T21:05:42.259651,Cycle_3_Warm_3,692.69,200
2026-09-02T21:26:40.109703,Cycle_1_Cold_Start,1356.84,200
2026-09-02T21:26:45.796172,Cycle_1_Warm_1,678.12,200
2026-09-02T21:26:51.448135,Cycle_1_Warm_2,644.42,200
2026-09-02T21:26:57.166381,Cycle_1_Warm_3,710.1,200
2026-09-02T21:44:46.701986,Cycle_1_Cold_Start,1048.36,200
2026-09-02T21:44:52.547759,Cycle_1_Warm_1,837.11,200
2026-09-02T21:44:58.298774,Cycle_1_Warm_2,743.6,200
2026-09-02T21:45:04.007166,Cycle_1_Warm_3,700.2,200
2026-09-02T22:47:49.266678,Cycle_1_Cold_Start,2702.5,200
2026-09-02T22:47:56.177159,Cycle_1_Warm_1,1184.92,200
2026-09-02T22:48:02.952974,Cycle_1_Warm_2,1771.99,200
2026-09-02T22:48:10.775589,Cycle_1_Warm_3,1748.84,200
2026-09-03T16:45:02.977437,Cycle_1_Cold_Start,2883.23,200
2026-09-03T16:45:08.669255,Cycle_1_Warm_1,680.94,200
2026-09-03T16:45:14.727586,Cycle_1_Warm_2,1048.85,200
2026-09-03T16:45:20.355889,Cycle_1_Warm_3,623.7,200
2026-09-03T11:17:14.261750,Cycle_1_Cold_Start,506.54,200
2026-09-03T11:17:20.202630,Cycle_1_Warm_1,410.87,200
2026-09-03T11:17:26.237940,Cycle_1_Warm_2,427.53,200
2026-09-03T11:17:32.227142,Cycle_1_Warm_3,399.63,200
2026-09-03T11:27:26.686944,Cycle_1_Cold_Start,710.24,200
2026-09-03T11:27:32.262199,Cycle_1_Warm_1,357.27,200
2026-09-03T11:27:38.175862,Cycle_1_Warm_2,365.92,200
2026-09-03T11:27:44.296169,Cycle_1_Warm_3,353.45,200
2026-09-03T11:52:45.777522,Cycle_2_Cold_Start,695.65,200
2026-09-03T11:52:52.121639,Cycle_2_Warm_1,372.42,200
2026-09-03T11:52:58.291776,Cycle_2_Warm_2,381.97,200
2026-09-03T11:53:04.154957,Cycle_2_Warm_3,359.11,200
2026-09-03T12:18:05.577500,Cycle_3_Cold_Start,633.84,200
2026-09-03T12:18:11.911501,Cycle_3_Warm_1,357.32,200
2026-09-03T12:18:18.069642,Cycle_3_Warm_2,374.67,200
2026-09-03T12:18:23.947742,Cycle_3_Warm_3,359.53,200
2026-09-03T12:43:25.386573,Cycle_4_Cold_Start,659.29,200
2026-09-03T12:43:31.731428,Cycle_4_Warm_1,367.56,200
2026-09-03T12:43:37.858802,Cycle_4_Warm_2,355.14,200
2026-09-03T12:43:43.747795,Cycle_4_Warm_3,362.97,200
2026-09-03T13:08:45.248433,Cycle_5_Cold_Start,726.08,200
2026-09-03T13:09:00.141312,Cycle_5_Warm_1,405.0,200
2026-09-03T13:09:06.157339,Cycle_5_Warm_2,358.39,200
2026-09-03T13:09:12.040650,Cycle_5_Warm_3,363.29,200
2026-09-03T13:34:13.557875,Cycle_6_Cold_Start,725.7,200
2026-09-03T13:34:20.048809,Cycle_6_Warm_1,382.72,200
2026-09-03T13:34:26.159435,Cycle_6_Warm_2,370.48,200
2026-09-03T13:34:32.007118,Cycle_6_Warm_3,355.52,200
2026-09-03T13:59:33.564520,Cycle_7_Cold_Start,776.19,200
2026-09-03T13:59:48.184788,Cycle_7_Warm_1,391.03,200
2026-09-03T13:59:54.064388,Cycle_7_Warm_2,371.14,200
2026-09-03T14:00:00.195988,Cycle_7_Warm_3,378.9,200
2026-09-03T14:25:01.641150,Cycle_8_Cold_Start,663.06,200
2026-09-03T14:25:07.921547,Cycle_8_Warm_1,389.32,200
2026-09-03T14:25:13.780626,Cycle_8_Warm_2,396.71,200
2026-09-03T14:25:19.788994,Cycle_8_Warm_3,373.29,200
2026-09-03T14:50:21.226467,Cycle_9_Cold_Start,666.28,200
2026-09-03T14:50:35.847247,Cycle_9_Warm_1,379.43,200
2026-09-03T14:50:41.685319,Cycle_9_Warm_2,362.89,200
2026-09-03T14:50:47.728036,Cycle_9_Warm_3,371.45,200
2026-09-03T20:32:49.994191,Cycle_1_Cold_Start,624.52,200
2026-09-03T20:32:55.782822,Cycle_1_Warm_1,535.2,200
2026-09-03T20:33:01.638913,Cycle_1_Warm_2,540.32,200
2026-09-03T20:33:07.486603,Cycle_1_Warm_3,509.4,200
2026-09-03T20:33:24.595491,Cycle_1_Cold_Start,558.79,200
2026-09-03T20:33:30.321649,Cycle_1_Warm_1,364.45,200
2026-09-03T20:33:36.178988,Cycle_1_Warm_2,358.69,200
2026-09-03T20:33:42.110158,Cycle_1_Warm_3,360.65,200
2026-09-03T20:33:58.974402,Cycle_1_Cold_Start,520.55,200
2026-09-03T20:34:04.724632,Cycle_1_Warm_1,354.62,200
2026-09-03T20:34:10.638672,Cycle_1_Warm_2,354.04,200
